Pic_id,MetaphorOccurrence,TargetCategory,SourceCategory,SentimentCategory
,"1 yes, 2 no ","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","-1 negative, 0 neutral, 1 positive"
1.jpg,1,11,12,1
10.jpg,1,12,11,1
100.jpg,0,,,-1
1000.jpg,1,10,5,1
1001.jpg,0,,,-1
1002.jpg,0,,,1
1003.jpg,1,12,12,1
1004.jpg,0,,,-1
1005.jpg,0,,,1
1006.jpg,1,12,12,-1
1007.jpg,0,,,1
1008.jpg,0,,,1
1009.jpg,0,,,1
101.jpg,0,,,1
1010.jpg,1,6,12,0
1011.jpg,0,,,1
1012.jpg,0,,,1
1013.jpg,0,,,-1
1014.jpg,1,12,12,1
1015.jpg,0,,,1
1016.jpg,0,,,1
1017.jpg,0,,,1
1018.jpg,0,,,1
1019.jpg,0,,,-1
102.jpg,1,10,12,0
1020.jpg,1,10,12,1
1021.jpg,0,,,1
1022.jpg,0,,,1
1023.jpg,0,,,1
1024.jpg,1,10,12,-1
1025.jpg,0,,,0
1026.jpg,0,,,-1
1027.jpg,0,,,1
1028.jpg,1,12,12,1
1029.jpg,0,,,-1
103.jpg,0,,,-1
1030.jpg,0,,,-1
1031.jpg,0,,,1
1032.jpg,0,,,-1
1033.jpg,1,6,11,1
1034.jpg,0,,,1
1035.jpg,0,,,0
1036.jpg,0,,,1
1037.jpg,0,,,1
1038.jpg,0,,,0
1039.jpg,1,12,6,0
104.jpg,1,12,7,1
1040.jpg,1,12,6,1
1041.jpg,0,,,0
1042.jpg,1,12,6,0
1043.jpg,0,,,-1
1044.jpg,0,,,-1
1045.jpg,0,,,0
1046.jpg,1,12,12,-1
1047.jpg,1,10,11,1
1048.jpg,0,,,1
1049.jpg,0,,,1
105.jpg,0,,,1
1050.jpg,0,,,0
1051.jpg,0,,,-1
1052.jpg,0,,,1
1053.jpg,0,,,1
1054.jpg,0,,,0
1055.jpg,0,,,1
1056.jpg,1,11,11,1
1057.jpg,0,,,0
1058.jpg,0,,,1
1059.jpg,0,,,1
106.jpg,0,,,-1
1060.jpg,1,12,6,-1
1061.jpg,1,12,13,0
1062.jpg,0,,,-1
1063.jpg,0,,,1
1064.jpg,0,,,1
1065.jpg,0,,,1
1066.jpg,0,,,1
1067.jpg,0,,,1
1068.jpg,0,,,1
1069.jpg,0,,,-1
107.jpg,1,3,12,1
1070.jpg,0,,,1
1071.jpg,1,12,10,0
1072.jpg,1,12,6,-1
1073.jpg,0,,,-1
1074.jpg,0,,,-1
1075.jpg,0,,,1
1076.jpg,0,,,1
1077.jpg,0,,,-1
