Pic_id,MetaphorOccurrence,TargetCategory,SourceCategory,SentimentCategory
,"1 yes, 0 no ","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","-1 negative, 0 neutral, 1 positive"
1000.jpg,0,,,1
10003.jpg,1,12,10,0
10012.jpg,1,12,6,1
10047.jpg,0,,,1
10086.jpg,0,,,1
10093.jpg,0,,,1
10096.jpg,0,,,0
1011.jpg,0,,,1
10115.jpg,0,,,0
10143.jpg,1,12,12,1
10155.jpg,1,10,10,1
10177.jpg,0,,,1
10183.jpg,0,,,0
10200.jpg,0,,,0
10205.jpg,0,,,0
1023.jpg,1,12,11,0
10240.jpg,0,,,0
10270.jpg,0,,,0
10283.jpg,1,12,4,0
10284.jpg,1,12,11,0
10288.jpg,1,12,11,0
10310.jpg,1,12,12,1
10348.jpg,1,12,11,1
10355.jpg,0,,,0
1036.jpg,0,,,0
10363.jpg,0,,,0
10373.jpg,0,,,1
10380.jpg,0,,,0
10406.jpg,0,,,0
10410.jpg,0,,,0
10421.jpg,0,,,0
10430.jpg,1,12,10,0
10433.jpg,1,12,11,0
10461.jpg,0,,,0
10480.jpg,1,12,8,0
10490.jpg,1,12,11,1
1050.jpg,1,12,8,1
10513.jpg,0,,,1
10518.jpg,1,12,12,0
10522.jpg,1,12,11,0
10525.jpg,1,12,10,1
10538.jpg,1,12,6,1
10544.jpg,1,12,11,0
1055.jpg,0,,,0
10566.jpg,1,12,10,0
10567.jpg,1,12,11,0
1060.jpg,1,12,11,0
10614.jpg,1,10,12,0
1066.jpg,1,12,11,1
10661.jpg,0,,,1
10673.jpg,0,,,0
1069.jpg,1,12,10,0
10711.jpg,0,,,0
10738.jpg,0,,,0
10744.jpg,1,10,11,0
10746.jpg,1,12,12,0
1075.jpg,0,,,0
10755.jpg,0,,,1
10763.jpg,0,,,0
10797.jpg,0,,,0
10815.jpg,0,,,0
10816.jpg,0,,,0
1083.jpg,0,,,0
10834.jpg,0,,,1
10839.jpg,1,12,11,1
10867.jpg,1,12,11,1
10868.jpg,0,,,1
10874.jpg,0,,,0
1088.jpg,1,12,10,0
10886.jpg,1,10,11,0
10952.jpg,1,12,11,1
1096.jpg,1,12,11,1
10965.jpg,0,,,1
10984.jpg,1,12,10,0
10995.jpg,1,12,11,1
10996.jpg,1,12,11,1
11007.jpg,1,12,10,1
11009.jpg,0,,,0
11011.jpg,0,,,1
11040.jpg,1,12,10,0
11043.jpg,0,,,0
11049.jpg,0,,,0
1105.jpg,0,,,0
11061.jpg,1,12,10,0
11078.jpg,1,12,11,0
11085.jpg,0,,,1
11092.jpg,1,12,11,1
11094.jpg,0,,,0
11103.jpg,0,,,0
11108.jpg,0,,,1
11109.jpg,1,12,10,0
11119.jpg,0,,,1
11133.jpg,1,12,13,0
11152.jpg,1,12,10,1
11168.jpg,0,,,1
11169.jpg,0,,,0
11182.jpg,1,12,12,0
11189.jpg,0,,,0
11192.jpg,0,,,0
112.jpg,1,10,10,0
11226.jpg,0,,,1
11240.jpg,0,,,0
11241.jpg,0,,,0
11245.jpg,0,,,0
11251.jpg,0,,,0
11256.jpg,0,,,0
11270.jpg,1,12,6,0
11279.jpg,0,,,0
11301.jpg,0,,,0
11304.jpg,0,,,0
11331.jpg,1,10,6,1
11362.jpg,0,,,0
11367.jpg,0,,,1
11368.jpg,0,,,0
11371.jpg,0,,,1
11377.jpg,1,12,11,1
11421.jpg,1,12,13,0
11441.jpg,0,,,1
11442.jpg,1,12,6,1
11449.jpg,1,12,6,1
1147.jpg,0,,,0
11515.jpg,1,12,4,0
11529.jpg,0,,,0
11585.jpg,0,,,0
11600.jpg,0,,,0
1161.jpg,0,,,0
1168.jpg,1,12,7,0
11680.jpg,0,,,0
11683.jpg,0,,,1
11684.jpg,1,12,11,0
1173.jpg,0,,,1
11750.jpg,1,12,10,1
11752.jpg,1,10,11,0
11758.jpg,0,,,0
11760.jpg,0,,,0
11775.jpg,0,,,1
11778.jpg,1,12,6,0
11801.jpg,0,,,0
11808.jpg,1,12,8,0
11809.jpg,0,,,0
11817.jpg,0,,,0
11822.jpg,1,2,12,0
11826.jpg,1,12,10,0
11828.jpg,0,,,1
11841.jpg,0,,,1
11843.jpg,0,,,0
11850.jpg,1,12,11,1
11852.jpg,1,12,7,0
1186.jpg,1,12,12,1
11873.jpg,1,11,10,0
1192.jpg,1,12,12,1
11920.jpg,0,,,0
1194.jpg,1,12,10,1
11944.jpg,1,12,5,1
11949.jpg,0,,,0
11961.jpg,0,,,1
1198.jpg,1,12,11,0
12.jpg,1,12,10,0
12000.jpg,1,12,6,0
12031.jpg,1,12,10,0
12041.jpg,1,12,10,0
12043.jpg,0,,,0
12069.jpg,0,,,0
12077.jpg,1,12,13,0
12089.jpg,0,,,0
12105.jpg,1,12,11,0
12109.jpg,0,,,1
12114.jpg,0,,,0
12119.jpg,1,12,8,0
12121.jpg,1,12,11,0
12142.jpg,1,12,12,0
12143.jpg,1,12,7,0
12150.jpg,0,,,0
12158.jpg,1,10,11,1
1221.jpg,1,10,10,1
12225.jpg,1,12,10,1
12229.jpg,0,,,0
12240.jpg,0,,,1
12243.jpg,0,,,0
12257.jpg,1,12,11,0
12299.jpg,0,,,0
12311.jpg,0,,,0
12324.jpg,0,,,0
12327.jpg,1,12,11,0
12339.jpg,1,12,10,0
12348.jpg,0,,,1
12360.jpg,0,,,1
12375.jpg,0,,,1
12381.jpg,0,,,0
12385.jpg,0,,,0
12393.jpg,0,,,0
1240.jpg,0,,,1
12415.jpg,1,12,11,0
12431.jpg,0,,,1
12435.jpg,0,,,0
12441.jpg,0,,,1
12467.jpg,0,,,0
12470.jpg,0,,,0
12474.jpg,1,12,12,0
12521.jpg,0,,,0
12562.jpg,0,,,0
12569.jpg,0,,,0
12603.jpg,1,10,10,0
12667.jpg,0,,,1
1268.jpg,1,12,12,0
12685.jpg,1,12,11,0
127.jpg,0,,,0
1270.jpg,1,12,8,0
12708.jpg,1,12,11,1
