Pic_id,Pic_url,MetaphorOccurrence,TargetCategory,SourceCategory,SentimentCategory
,,"1 yes, 0 no ","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","1 relation, 2 communication, 3 attribute, 4 psychological_feature, 5 person, 6 plant, 7 animal, 8 process, 9 event, 10 substance, 11 natural_object, 12 artifact, 13 location","-1 negative, 0 neutral, 1 positive"
1.jpg,"http://t13.baidu.com/it/u=1172916731,471097129&fm=224&app=112&f=JPEG?w=500&h=500",1,11,12,1
10.jpg,"https://img2.baidu.com/it/u=4151346401,435293415&fm=253&fmt=auto&app=138&f=JPEG?w=991&h=498",1,12,11,1
100.jpg,"https://img0.baidu.com/it/u=1848666527,4158675544&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=460",0,,,-1
1000.jpg,"https://img2.baidu.com/it/u=3606768745,3507240452&fm=253&fmt=auto&app=138&f=JPEG?w=237&h=500",1,10,5,1
1001.jpg,http://res.yznews.cn/a/12163/202101/d0f0ae39bee5b2bb3437407e7425da19.jpeg,0,,,-1
1002.jpg,"https://img2.baidu.com/it/u=2393731079,3647108765&fm=253&fmt=auto&app=138&f=PNG?w=500&h=679",0,,,1
1003.jpg,"https://img0.baidu.com/it/u=3393755355,570505756&fm=253&fmt=auto&app=138&f=JPEG?w=1012&h=500",1,12,12,1
1004.jpg,https://img.zcool.cn/community/01bf045b5148b8a80121ade088724a.png@1280w_1l_2o_100sh.png,0,,,-1
1005.jpg,https://scpic.chinaz.net/files/pic/psd1/201408/psd13757.jpg,0,,,1
1006.jpg,"http://t14.baidu.com/it/u=3063259939,3989021634&fm=224&app=112&f=JPEG?w=500&h=500",1,12,12,-1
1007.jpg,"http://t15.baidu.com/it/u=4159278882,592359335&fm=224&app=112&f=JPEG?w=500&h=500",0,,,1
1008.jpg,https://photo.16pic.com/00/05/91/16pic_591427_b.jpg,0,,,1
1009.jpg,"http://t15.baidu.com/it/u=3446150158,2797457452&fm=224&app=112&f=JPEG?w=500&h=500",0,,,1
101.jpg,https://img95.699pic.com/desgin_photo/40100/4390_detail.jpg!/fw/320/clip/0x432a0a0/unsharp/true,0,,,1
1010.jpg,"https://img1.baidu.com/it/u=1083411983,3356903433&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=698",1,6,12,0
1011.jpg,"https://img0.baidu.com/it/u=2354519252,2864196093&fm=253&fmt=auto&app=138&f=JPEG?w=153&h=500",0,,,1
1012.jpg,http://n.sinaimg.cn/sinacn/w450h575/20180108/9f2b-fyqincv3288144.jpg,0,,,1
1013.jpg,"https://img0.baidu.com/it/u=2107274258,2916560335&fm=253&fmt=auto&app=120&f=JPEG?w=566&h=500",0,,,-1
1014.jpg,"https://img0.baidu.com/it/u=42198555,839964620&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=707",1,12,12,1
1015.jpg,"https://img0.baidu.com/it/u=995591650,3079663798&fm=253&fmt=auto&app=138&f=JPEG?w=300&h=440",0,,,1
1016.jpg,"https://img0.baidu.com/it/u=3874239447,1621282139&fm=253&fmt=auto&app=120&f=JPEG?w=640&h=362",0,,,1
1017.jpg,"https://img1.baidu.com/it/u=2040631065,3204674725&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=667",0,,,1
1018.jpg,http://img.tupian114.com/20200928/0304114345.jpg,0,,,1
1019.jpg,"https://img1.baidu.com/it/u=2191822792,3099172628&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=715",0,,,-1
102.jpg,"https://img2.baidu.com/it/u=1096270584,1993168364&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=707",1,10,12,0
1020.jpg,"https://img0.baidu.com/it/u=1858169650,420073923&fm=253&fmt=auto&app=138&f=JPG?w=265&h=353",1,10,12,1
1021.jpg,https://img-qn-4.51miz.com/Templet/00/18/64/03/186403_d6b9917dde1e1655e0e43b68ee7ef28d.jpg,0,,,1
1022.jpg,"https://img0.baidu.com/it/u=725112205,671037258&fm=253&fmt=auto&app=138&f=JPEG?w=359&h=500",0,,,1
1023.jpg,http://img.aiimg.com/uploads/allimg/201002/1-201002234614.jpg,0,,,1
1024.jpg,"https://img2.baidu.com/it/u=3605028235,3473664628&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=761",1,10,12,-1
1025.jpg,"https://img0.baidu.com/it/u=1368846538,2037145910&fm=253&fmt=auto&app=120&f=JPEG?w=524&h=500",0,,,0
1026.jpg,"https://img1.baidu.com/it/u=2079316900,2442805067&fm=253&fmt=auto&app=138&f=JPG?w=265&h=380",0,,,-1
1027.jpg,"https://img0.baidu.com/it/u=1494790241,3705473578&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=460",0,,,1
1028.jpg,"https://img1.baidu.com/it/u=1231090800,3132478603&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=707",1,12,12,1
1029.jpg,"https://img1.baidu.com/it/u=2815387995,2477309063&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=889",0,,,-1
103.jpg,"https://img0.baidu.com/it/u=1559337944,2604414439&fm=253&fmt=auto&app=138&f=JPEG?w=285&h=523",0,,,-1
1030.jpg,"https://img0.baidu.com/it/u=3059594931,1342031771&fm=253&fmt=auto&app=138&f=JPEG?w=750&h=500",0,,,-1
1031.jpg,"https://img2.baidu.com/it/u=143748855,2430230841&fm=253&fmt=auto&app=138&f=JPEG?w=472&h=808",0,,,1
1032.jpg,http://www.aiimg.com/uploads/userup/1112/2212402C246.jpg,0,,,-1
1033.jpg,"https://img2.baidu.com/it/u=386393828,471176270&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=353",1,6,11,1
1034.jpg,"https://img0.baidu.com/it/u=3119452644,3405112175&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=707",0,,,1
